Order_ID,Order_Date,Region,Product_Category,Customer_Type,Units_Sold,Unit_Price,Discount,Advertising_Spend,Revenue,Profit,Customer_Satisfaction
ORD-0001,2025-01-01,South,Electronics,Returning,20,653.44,0.024,9203.36,13659.35,1504.47,2.19
ORD-0002,2025-01-02,West,Electronics,Returning,7,624.81,0.094,24848.25,4702.41,1851.15,3.85
ORD-0003,2025-01-03,East,Office Supplies,New,7,63.53,0.138,13802.42,311.56,-1577.23,3.08
ORD-0004,2025-01-05,East,Electronics,Returning,4,557.39,0.097,13402.55,2001.64,-173.19,2.32
ORD-0005,2025-01-06,North,Electronics,Returning,8,346.81,0.041,9231.62,2890.21,165.19,3.39
ORD-0006,2025-01-08,North,Furniture,New,20,254.67,0.068,21050.19,5284.79,-246.91,3.06
ORD-0007,2025-01-09,North,Office Supplies,VIP,9,75.47,0.232,39086.68,735.52,-1159.06,3.43
ORD-0008,2025-01-11,West,Furniture,Returning,11,225.65,0.169,17439.88,2683.24,366.28,3.66
ORD-0009,2025-01-12,East,Furniture,VIP,21,237.58,0.124,19055.71,5358.05,-943.94,2.51
ORD-0010,2025-01-14,East,Electronics,Returning,16,606.01,0.003,33920.36,11110.21,417.12,3.67
ORD-0011,2025-01-15,North,Furniture,Returning,16,332.22,0.248,13812.84,4119.24,-1256.26,3.17
ORD-0012,2025-01-17,West,Office Supplies,Returning,30,109.91,0.168,45363.11,3227.8,-489.12,3.8
ORD-0013,2025-01-18,West,Electronics,VIP,2,577.27,0.079,28408.57,1456.08,-975.31,3.08
ORD-0014,2025-01-20,North,Furniture,VIP,21,505.12,0.22,25142.13,9637.59,624.64,3.0
ORD-0015,2025-01-21,North,Office Supplies,New,8,96.19,0.065,30101.91,726.88,-508.01,3.2
ORD-0016,2025-01-22,North,Office Supplies,New,28,146.26,0.136,12471.54,3990.09,107.17,3.25
ORD-0017,2025-01-24,South,Furniture,New,5,287.31,0.159,32606.29,1103.1,-312.59,2.89
ORD-0018,2025-01-25,East,Office Supplies,Returning,30,100.55,0.055,21339.53,3277.1,-1267.04,2.94
ORD-0019,2025-01-27,South,Electronics,VIP,7,492.94,0.245,45373.39,2347.43,-295.66,2.64
ORD-0020,2025-01-28,South,Electronics,New,26,671.88,0.187,12598.44,13959.86,569.14,3.02
ORD-0021,2025-01-30,East,Office Supplies,Returning,2,108.49,0.139,27817.3,197.11,-3374.0,3.42
ORD-0022,2025-01-31,North,Office Supplies,Returning,30,83.66,0.045,31915.07,2550.78,-1253.46,3.11
ORD-0023,2025-02-02,South,Office Supplies,VIP,6,97.92,0.013,,640.96,-665.27,3.64
ORD-0024,2025-02-03,South,Office Supplies,Returning,28,127.74,0.08,21366.19,2892.44,-661.72,3.1
ORD-0025,2025-02-05,South,Furniture,Returning,24,185.91,0.188,37968.59,3916.93,-864.48,2.53
ORD-0026,2025-02-06,West,Furniture,Returning,2,348.49,0.067,41916.99,744.22,-612.29,
ORD-0027,2025-02-08,North,Office Supplies,Returning,5,107.32,0.135,19092.29,495.24,-1052.8,2.87
ORD-0028,2025-02-09,South,Furniture,New,23,325.31,0.182,40936.7,5277.36,-1850.33,3.05
ORD-0029,2025-02-10,East,Office Supplies,New,3,115.72,0.027,48549.01,345.33,-3678.04,3.66
ORD-0030,2025-02-12,North,Office Supplies,VIP,11,104.24,0.171,43559.33,1224.2,-2424.86,2.62
ORD-0031,2025-02-13,East,Office Supplies,Returning,6,75.81,0.023,10293.98,422.25,-2655.84,3.21
ORD-0032,2025-02-15,North,Electronics,VIP,28,560.52,0.241,38287.86,15745.69,-899.01,3.16
ORD-0033,2025-02-16,North,Electronics,VIP,11,454.68,0.122,,5180.41,1298.09,3.55
ORD-0034,2025-02-18,West,Electronics,Returning,2,744.49,0.038,49478.72,1393.95,-3224.3,3.5
ORD-0035,2025-02-19,West,Furniture,Returning,23,290.48,0.086,,8040.67,1169.29,3.35
ORD-0036,2025-02-21,West,Electronics,VIP,7,405.98,0.103,10509.53,3492.18,-1458.59,3.0
ORD-0037,2025-02-22,South,Furniture,Returning,14,225.04,0.19,37633.35,2529.61,730.6,3.43
ORD-0038,2025-02-24,North,Furniture,New,16,429.5,0.186,19535.5,5404.39,2274.1,3.86
ORD-0039,2025-02-25,East,Electronics,Returning,5,585.68,,49868.52,2953.35,-1365.56,3.15
ORD-0040,2025-02-27,South,Furniture,New,14,359.37,0.026,49090.21,5340.64,1182.03,3.11
ORD-0041,2025-02-28,North,Electronics,VIP,25,664.02,0.038,34526.03,21082.48,2295.21,
ORD-0042,2025-03-01,South,Electronics,Returning,21,614.75,0.023,10842.19,11544.94,2391.82,3.28
ORD-0043,2025-03-03,North,Office Supplies,New,25,56.84,0.144,35908.74,1193.65,34.01,2.6
ORD-0044,2025-03-04,West,Electronics,Returning,16,565.22,0.219,9186.37,8592.11,832.51,3.33
ORD-0045,2025-03-06,North,Electronics,Returning,30,458.84,0.108,6321.39,11306.8,-448.98,2.58
ORD-0046,2025-03-07,East,Furniture,New,9,292.82,0.04,42033.13,2437.69,-594.23,3.35
ORD-0047,2025-03-09,South,Office Supplies,New,6,79.13,0.14,14438.88,369.32,-1190.31,2.81
ORD-0048,2025-03-10,East,Electronics,Returning,30,240.61,0.203,22056.22,6815.34,-698.96,3.2
ORD-0049,2025-03-12,East,Furniture,Returning,16,381.85,0.185,48805.58,5854.27,-948.54,3.35
ORD-0050,2025-03-13,North,Electronics,Returning,5,587.7,0.22,20157.82,2622.3,-0.57,4.3
ORD-0051,2025-03-15,West,Electronics,Returning,13,499.09,0.069,18342.04,7964.43,559.27,3.55
ORD-0052,2025-03-16,West,Furniture,VIP,14,211.41,0.048,46319.36,4330.37,-565.77,3.8
ORD-0053,2025-03-18,West,Furniture,Returning,3,373.54,0.22,9983.68,1030.23,-1156.82,4.01
